40.4590 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
40.4607 	INFO 	Loaded monitor calibration from ['2024_08_09 13:47']
40.7502 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fa9193940a0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fa919301df0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fa919301a60>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fa91908f370>, multiSample=False, name='window1', numSamples=2, pos=[520.0, 300.0], screen=0, size=array([1600, 1200]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
40.7503 	EXP 	window1: backgroundImage = ''
40.7503 	EXP 	window1: backgroundFit = 'none'
40.7506 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fa9193941c0>
40.7510 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fa9193941c0>
40.7544 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fa9193941c0>
40.7553 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fa9193941c0>
40.7647 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7657 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7667 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7680 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7693 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7698 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7708 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7722 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7725 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7728 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7738 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7748 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7756 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7766 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7774 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7784 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7794 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7799 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7804 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7818 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7823 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
40.7827 	DEBUG 	Uploading Texture Font fontname to graphics card
40.7911 	DEBUG 	Upload of Texture Font fontname complete
